4,,0.3062,,1.1427,,0.028,,0.2609,,1.1422,,0.029
8,,0.5014,0.610690068,0.2472,4.622572816,0.03,0.933333333,0.5057,0.515918529,0.2468,4.628038898,0.041
16,,0.5263,0.952688581,1.2171,0.203105743,0.023,1.304347826,0.5261,0.961224102,1.2171,0.202777093,0.03
32,,1.1443,0.459931836,0.245,4.967755102,0.036,0.638888889,1.443,0.364587665,0.245,4.967755102,0.026
64,,0.6384,1.792449875,0.1895,1.292875989,0.054,0.666666667,0.6384,2.260338346,0.1895,1.292875989,0.043
128,,0.2954,2.161137441,0.1756,1.079157175,0.153,0.352941176,0.2954,2.161137441,0.1756,1.079157175,0.17
256,,0.1367,2.160936357,0.1063,1.651928504,0.443,0.34537246,0.1367,2.160936357,0.1063,1.651928504,0.775
512,,0.065,2.103076923,0.0574,1.851916376,2.338,0.189478186,0.065,2.103076923,0.0574,1.851916376,4.371
1024,,0.0316,2.056962025,0.0297,1.932659933,21.055,0.111042508,0.0316,2.056962025,0.0297,1.932659933,52.62
2048,,0.0156,2.025641026,0.0151,1.966887417,173.044,0.121674256,0.0156,2.025641026,0.0151,1.966887417,535.08
